dataset,architecture,status,n_context_samples,n_preds,sec_per_volume,sec_per_epoch,n_params,peak_gpu_mem_mb,psnr,psnr_roi,fa_mae,md_mae
dbrain,restormer,failed,16,5,,,14916,4.56591796875,,,,
dbrain,restormer,success,16,5,3.8942605296770734,4.071067692836126,14916,2922.56640625,25.95576705630288,26.435479317870527,0.23089542686915684,3431.8664524984115
dbrain,restormer,failed,16,5,,12.71345597770479,148867,11672.5537109375,,,,
dbrain,restormer,success,16,5,,,14916,36.86328125,,,,
dbrain,restormer,failed,16,5,3.8142679850260417,4.098585155937407,14916,2922.56640625,25.95576705630288,,,
dbrain,restormer,success,16,5,3.7723097681999205,0.00430174536175198,14916,2922.51123046875,25.95576705630288,26.435479317870527,0.23089542686915684,3431.8664524984115
dbrain,restormer,success,16,5,26.594652609030405,12.716738726033105,148867,1415.9287109375,27.29040357776679,25.24572822612136,0.22323923959799474,3447.441975510928
