exp_id,job_id,recipe,status,dataset,architecture,dimensionality,sampling_mode,k_input,g_shell,n_context_samples,n_preds,n_params,sec_per_epoch,sec_per_volume,peak_gpu_mem_mb,duration_s
paper_final_k16,drcnet_stanford_k30_ablation,k_sweep,success,stanford,drcnet,3d,rgs,30,150,16,23,128098,45.19543496158388,27.9920613861084,8346.37158203125,44917.39368033409
paper_final_k16,restormer_dbrain_k5_ablation,k_sweep,success,dbrain,restormer,3d,rgs,5,60,16,12,174319,30.364251849386427,129.17592064936954,10936.31396484375,18715.99378633499
paper_final_k16,restormer_dbrain_k10_ablation,k_sweep,success,dbrain,restormer,3d,rgs,10,60,16,12,175939,31.102879995769925,129.20530234575273,10996.3359375,18983.21138715744
paper_final_k16,restormer_dbrain_k16_ablation,k_sweep,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.049109949005974665,128.46140738725663,2508.0302734375,7759.213232040405
paper_final_k16,restormer_dbrain_k24_ablation,k_sweep,success,dbrain,restormer,3d,rgs,24,60,16,12,180475,33.60215058128039,130.23061606486638,11164.39599609375,19944.914848804474
paper_final_k16,restormer_dbrain_k30_ablation,k_sweep,success,dbrain,restormer,3d,rgs,30,60,16,12,182419,34.99089771045579,131.87320437431336,11236.42138671875,20543.704973220825
paper_final_k16,restormer_stanford_k5_ablation,k_sweep,success,stanford,restormer,3d,rgs,5,150,16,23,174319,17.41764675537745,83.74937417348225,10936.31396484375,28279.86110830307
paper_final_k16,restormer_stanford_k10_ablation,k_sweep,success,stanford,restormer,3d,rgs,10,150,16,23,175939,17.90406324889925,84.36663606802622,10995.8359375,28813.57456254959
paper_final_k16,restormer_stanford_k16_ablation,k_sweep,success,stanford,restormer,3d,rgs,16,150,16,23,177883,0.012963015503353542,84.75064846197765,2352.34033203125,12770.134066820145
paper_final_k16,restormer_stanford_k24_ablation,k_sweep,success,stanford,restormer,3d,rgs,24,150,16,23,180475,19.670868170791202,84.69302590847015,11164.39599609375,30452.79666209221
paper_final_k16,restormer_stanford_k30_ablation,k_sweep,success,stanford,restormer,3d,rgs,30,150,16,23,182419,20.388888535764483,85.0536956055959,11236.42138671875,31153.0778260231
paper_final_k16,drcnet_dbrain_maskp_01_ablation,mask_p_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,0.052514262331856625,34.1015173514684,5694.45458984375,2098.2264380455017
paper_final_k16,drcnet_dbrain_maskp_02_ablation,mask_p_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,0.05339272022247314,34.04143994649251,5694.45458984375,2094.839301109314
paper_final_k16,drcnet_dbrain_maskp_03_ablation,mask_p_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,0.05269186629189385,34.06680788199107,5694.45458984375,2096.1936297416687
paper_final_k16,drcnet_dbrain_maskp_05_ablation,mask_p_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,0.05279659761322869,34.01797482172648,5694.45458984375,2093.075367450714
paper_final_k16,drcnet_dbrain_maskp_07_ablation,mask_p_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,0.05219437215063307,34.03302852710088,5694.45458984375,2093.716105222702
paper_final_k16,drcnet_stanford_maskp_01_ablation,mask_p_sensitivity,success,stanford,drcnet,3d,rgs,16,150,16,23,116002,0.0020773254500495064,25.079566521644594,2557.44140625,3807.4816501140594
paper_final_k16,drcnet_stanford_maskp_02_ablation,mask_p_sensitivity,success,stanford,drcnet,3d,rgs,16,150,16,23,116002,0.002003326680925157,25.027008180618285,2557.44140625,3800.7453393936157
paper_final_k16,drcnet_stanford_maskp_03_ablation,mask_p_sensitivity,success,stanford,drcnet,3d,rgs,16,150,16,23,116002,0.002101127571529812,25.02506828625997,2557.44140625,3799.199305295944
paper_final_k16,drcnet_stanford_maskp_05_ablation,mask_p_sensitivity,success,stanford,drcnet,3d,rgs,16,150,16,23,116002,0.0020265875922309026,24.993996481895447,2557.44140625,3794.3731071949005
paper_final_k16,drcnet_stanford_maskp_07_ablation,mask_p_sensitivity,success,stanford,drcnet,3d,rgs,16,150,16,23,116002,0.0019905357890658906,24.964178490638734,2557.44140625,3789.067940711975
paper_final_k16,restormer_dbrain_maskp_01_ablation,mask_p_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.04899711012840271,125.56473009586334,2508.0302734375,7584.83594751358
paper_final_k16,restormer_dbrain_maskp_02_ablation,mask_p_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.04965322812398275,125.76917890310287,2508.0302734375,7597.736908197403
paper_final_k16,restormer_dbrain_maskp_03_ablation,mask_p_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.04931717912356059,125.87062968413035,2508.0302734375,7603.395196437836
paper_final_k16,restormer_dbrain_maskp_05_ablation,mask_p_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.04890951845380995,126.01090866327286,2508.0302734375,7611.6969957351685
paper_final_k16,restormer_dbrain_maskp_07_ablation,mask_p_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.049479995171229044,126.135870830218,2508.0302734375,7619.828499078751
paper_final_k16,restormer_stanford_maskp_01_ablation,mask_p_sensitivity,success,stanford,restormer,3d,rgs,16,150,16,23,177883,0.012197090519799126,82.44375488599141,2352.34033203125,12421.676634550095
paper_final_k16,restormer_stanford_maskp_02_ablation,mask_p_sensitivity,success,stanford,restormer,3d,rgs,16,150,16,23,177883,0.0125328352716234,82.43069012959798,2352.34033203125,12419.882271528244
paper_final_k16,restormer_stanford_maskp_03_ablation,mask_p_sensitivity,success,stanford,restormer,3d,rgs,16,150,16,23,177883,0.012133189042409261,82.542036652565,2352.34033203125,12436.596127271652
paper_final_k16,restormer_stanford_maskp_05_ablation,mask_p_sensitivity,success,stanford,restormer,3d,rgs,16,150,16,23,177883,0.012280893855624728,82.59443956375122,2352.34033203125,12444.488888025284
paper_final_k16,restormer_stanford_maskp_07_ablation,mask_p_sensitivity,success,stanford,restormer,3d,rgs,16,150,16,23,177883,0.012125341627332899,82.4685664097468,2352.34033203125,12425.315832614899
