metrics_relpath,method,dataset,dimensionality,sampling_mode,k_input,n_context_samples,n_preds,psnr,ssim,mse,psnr_roi,ssim_roi,mse_roi,fa_mae,md_mae,ad_mae,rd_mae
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,23.897697337492087,0.44019079208374023,0.004075963050127029,26.931018552069112,0.5247226357460022,0.002027207201125103,0.25750770074785306,3450.679621827925,8297.343585349035,1033.178222143829
drcnet_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K16/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,16,16,23,39.793803396686826,0.9692103862762451,0.00010486235987627879,38.0686574348466,0.9692103862762451,0.0001560034633697169,,,,
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,22.975547540073457,0.42880454659461975,0.0050401706248521805,23.427882095622007,0.5107351541519165,0.004541630759290132,0.22375771528581423,3440.452691769538,8285.799109419147,1048.8524360012266
restormer_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K16/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,16,16,23,26.992611233355138,0.6167993545532227,0.001998659921810031,26.049046070894924,0.6167993545532227,0.0024836785622920727,,,,
