dataset,architecture,status,n_context_samples,n_preds,sec_per_volume,sec_per_epoch,n_params,peak_gpu_mem_mb,psnr,psnr_roi,fa_mae,md_mae
dbrain,drcnet,success,16,12,,,116002,8010.208984375,,,,
dbrain,drcnet,success,16,12,,,0,0.0,,,,
dbrain,drcnet,success,16,12,34.146129779020946,14.789510317643483,116002,8010.208984375,23.897697337492087,26.931018552069112,0.25750770074785306,3450.679621827925
dbrain,restormer,success,16,12,126.75681114196777,32.91754938827621,177883,11066.98681640625,22.975547540073457,23.427882095622007,0.22375771528581423,3440.452691769538
stanford,drcnet,success,16,23,25.203444754282632,40.38851841873593,116002,8010.208984375,39.793803396686826,38.0686574348466,,
stanford,restormer,success,16,23,83.06205722649892,19.315941745705075,177883,11065.98681640625,26.992611233355138,26.049046070894924,,
